"filename", "language", "Python", "pip requirements", "Ini", "JSON with Comments", "Markdown", "comment", "blank", "total"
"c:\Users\ppain\repos\python\p3_excel_budget\README.md", "Markdown", 0, 0, 0, 0, 328, 0, 80, 408
"c:\Users\ppain\repos\python\p3_excel_budget\budget_model_config.jsonc", "JSON with Comments", 0, 0, 0, 29, 0, 11, 0, 40
"c:\Users\ppain\repos\python\p3_excel_budget\budget_model_logging_config.jsonc", "JSON with Comments", 0, 0, 0, 60, 0, 6, 0, 66
"c:\Users\ppain\repos\python\p3_excel_budget\p3_excel_budget.code-workspace", "JSON with Comments", 0, 0, 0, 42, 0, 0, 0, 42
"c:\Users\ppain\repos\python\p3_excel_budget\pytest.ini", "Ini", 0, 0, 11, 0, 0, 0, 1, 12
"c:\Users\ppain\repos\python\p3_excel_budget\requirements.txt", "pip requirements", 0, 16, 0, 0, 0, 0, 1, 17
"c:\Users\ppain\repos\python\p3_excel_budget\src\__init__.py", "Python", 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\ppain\repos\python\p3_excel_budget\src\budmod.py", "Python", 64, 0, 0, 0, 0, 45, 7, 116
"c:\Users\ppain\repos\python\p3_excel_budget\src\data\__init__.py", "Python", 6, 0, 0, 0, 0, 0, 2, 8
"c:\Users\ppain\repos\python\p3_excel_budget\src\data\p3_budget_model\__init__.py", "Python", 39, 0, 0, 0, 0, 0, 8, 47
"c:\Users\ppain\repos\python\p3_excel_budget\src\data\p3_budget_model\bdm_workflor_viewmodel.py", "Python", 72, 0, 0, 0, 0, 14, 17, 103
"c:\Users\ppain\repos\python\p3_excel_budget\src\data\p3_budget_model\budget_categorization.py", "Python", 111, 0, 0, 0, 0, 42, 15, 168
"c:\Users\ppain\repos\python\p3_excel_budget\src\data\p3_budget_model\budget_model.py", "Python", 562, 0, 0, 0, 0, 99, 72, 733
"c:\Users\ppain\repos\python\p3_excel_budget\src\data\p3_budget_model\budget_model_constants.py", "Python", 41, 0, 0, 0, 0, 28, 13, 82
"c:\Users\ppain\repos\python\p3_excel_budget\src\data\p3_budget_model\budget_model_template.py", "Python", 263, 0, 0, 0, 0, 58, 15, 336
"c:\Users\ppain\repos\python\p3_excel_budget\src\data\p3_budget_model\category_mapping.py", "Python", 212, 0, 0, 0, 0, 45, 5, 262
"c:\Users\ppain\repos\python\p3_excel_budget\src\data\p3_interactive_notebooks\apply_mapping_to_excel_file.py", "Python", 52, 0, 0, 0, 0, 42, 20, 114
"c:\Users\ppain\repos\python\p3_excel_budget\src\data\p3_interactive_notebooks\plot_settings.py", "Python", 17, 0, 0, 0, 0, 0, 3, 20
"c:\Users\ppain\repos\python\p3_excel_budget\src\data\p3_interactive_notebooks\read_excel_file.py", "Python", 31, 0, 0, 0, 0, 26, 18, 75
"c:\Users\ppain\repos\python\p3_excel_budget\src\experiments\fooey.py", "Python", 14, 0, 0, 0, 0, 5, 5, 24
"c:\Users\ppain\repos\python\p3_excel_budget\src\p3_excel_budget_constants.py", "Python", 6, 0, 0, 0, 0, 1, 3, 10
"c:\Users\ppain\repos\python\p3_excel_budget\tests\test_excel_budget_model.py", "Python", 16, 0, 0, 0, 0, 20, 6, 42
"c:\Users\ppain\repos\python\p3_excel_budget\tests\test_main.py", "Python", 117, 0, 0, 0, 0, 12, 8, 137
"Total", "-", 1630, 16, 11, 131, 328, 454, 301, 2871
