"filename", "language", "Python", "JSON", "JSON with Comments", "TOML", "Shell Script", "Markdown", "Draw.io", "XML", "pip requirements", "Ini", "comment", "blank", "total"
"c:\Users\ppain\repos\python\p3_budman\README.md", "Markdown", 0, 0, 0, 0, 0, 325, 0, 0, 0, 0, 1, 81, 407
"c:\Users\ppain\repos\python\p3_budman\budget_model_config.jsonc", "JSON with Comments", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 11, 0, 40
"c:\Users\ppain\repos\python\p3_budman\budget_model_logging_config.jsonc", "JSON with Comments", 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 18, 0, 78
"c:\Users\ppain\repos\python\p3_budman\budman_model.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 369, 0, 0, 71, 1, 441
"c:\Users\ppain\repos\python\p3_budman\main.py", "Python", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 2, 107
"c:\Users\ppain\repos\python\p3_budman\p3_budman.code-workspace", "JSON with Comments", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50
"c:\Users\ppain\repos\python\p3_budman\pyproject.toml", "TOML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\ppain\repos\python\p3_budman\pyrightconfig.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\ppain\repos\python\p3_budman\pytest.ini", "Ini", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 1, 13
"c:\Users\ppain\repos\python\p3_budman\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 0, 163, 0, 0, 1, 164
"c:\Users\ppain\repos\python\p3_budman\settings.toml", "TOML", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 8, 4, 27
"c:\Users\ppain\repos\python\p3_budman\src\budget_domain_model\README.md", "Markdown", 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 10, 50
