"filename", "language", "Python", "Markdown", "TOML", "JSON", "JSON with Comments", "CSV", "Draw.io", "comment", "blank", "total"
"c:\Users\ppain\repos\python\p3_budman\budget_model_logging_config.jsonc", "JSON with Comments", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\ppain\repos\python\p3_budman\level_2_categories.csv", "CSV", 0, 0, 0, 0, 0, 248, 0, 0, 1, 249
"c:\Users\ppain\repos\python\p3_budman\main.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\ppain\repos\python\p3_budman\pyrightconfig.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\ppain\repos\python\p3_budman\settings.toml", "TOML", 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\ppain\repos\python\p3_budman\src\budget_domain_model\README.md", "Markdown", 0, -40, 0, 0, 0, 0, 0, 0, -10, -50
"c:\Users\ppain\repos\python\p3_budman\src\budget_domain_model\budget_domain_model.py", "Python", -538, 0, 0, 0, 0, 0, 0, -300, -34, -872
"c:\Users\ppain\repos\python\p3_budman\src\budget_domain_model\budget_domain_model_config.py", "Python", -14, 0, 0, 0, 0, 0, 0, 7, -1, -8
"c:\Users\ppain\repos\python\p3_budman\src\budget_domain_model\get_budget_model_template.py", "Python", -4, 0, 0, 0, 0, 0, 0, -24, -3, -31
"c:\Users\ppain\repos\python\p3_budman\src\budget_storage_model\__init__.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\ppain\repos\python\p3_budman\src\budget_storage_model\budget_storage_model.py", "Python", 50, 0, 0, 0, 0, 0, 0, 33, 2, 85
"c:\Users\ppain\repos\python\p3_budman\src\budget_storage_model\csv_data_collection.py", "Python", -9, 0, 0, 0, 0, 0, 0, 5, 0, -4
"c:\Users\ppain\repos\python\p3_budman\src\budman_app\budman_app.py", "Python", 62, 0, 0, 0, 0, 0, 0, 41, 9, 112
"c:\Users\ppain\repos\python\p3_budman\src\budman_cli_view\budman_cli_parser.py", "Python", 69, 0, 0, 0, 0, 0, 0, 17, 13, 99
"c:\Users\ppain\repos\python\p3_budman\src\budman_cli_view\budman_cli_view.py", "Python", 17, 0, 0, 0, 0, 0, 0, 48, 1, 66
"c:\Users\ppain\repos\python\p3_budman\src\budman_command_processor\__init__.py", "Python", 10, 0, 0, 0, 0, 0, 0, 6, 4, 20
"c:\Users\ppain\repos\python\p3_budman\src\budman_command_processor\budman_cp_namespace.py", "Python", 61, 0, 0, 0, 0, 0, 0, 44, 11, 116
"c:\Users\ppain\repos\python\p3_budman\src\budman_command_processor\workflow_commands.py", "Python", 26, 0, 0, 0, 0, 0, 0, 15, 4, 45
"c:\Users\ppain\repos\python\p3_budman\src\budman_data_context\budget_domain_model_working_data.py", "Python", 15, 0, 0, 0, 0, 0, 0, 2, -1, 16
"c:\Users\ppain\repos\python\p3_budman\src\budman_data_context\budman_data_context.py", "Python", 30, 0, 0, 0, 0, 0, 0, 10, 3, 43
"c:\Users\ppain\repos\python\p3_budman\src\budman_data_context\budman_data_context_base_ABC.py", "Python", 14, 0, 0, 0, 0, 0, 0, 4, 3, 21
"c:\Users\ppain\repos\python\p3_budman\src\budman_data_context\budman_data_context_binding_class.py", "Python", 21, 0, 0, 0, 0, 0, 0, 12, 5, 38
