Budget Category,Level1,Level2,Level3
Donation,Donation,,
Donation.Charity,Donation,Charity,
Donation.GoFundMe,Donation,GoFundMe,
Donation.Politics,Donation,Politics,
Housing-GrapeCove,Housing-GrapeCove,,
Housing-GrapeCove.Lawn Care,Housing-GrapeCove,Lawn Care,
Housing-GrapeCove.Maintenance,Housing-GrapeCove,Maintenance,
Housing-GrapeCove.Improvements,Housing-GrapeCove,Improvements,
Housing-GrapeCove.Electric,Housing-GrapeCove,Electric,
Housing-GrapeCove.Natural Gas,Housing-GrapeCove,Natural Gas,
Housing-GrapeCove.HVAC,Housing-GrapeCove,HVAC,
Housing-GrapeCove.WaterAndWaste,Housing-GrapeCove,WaterAndWaste,
Housing,Housing,,
Housing.Electricity,Housing,Electricity,
Housing.WaterAndWaste,Housing,WaterAndWaste,
Housing.HomeOwnersAssociation,Housing,HomeOwnersAssociation,
Housing.Maintenance,Housing,Maintenance,
Housing.Lawn Care,Housing,Lawn Care,
Housing.Misc,Housing,Misc,
Housing.Storage Unit,Housing,Storage Unit,
Housing.Pest Control,Housing,Pest Control,
Housing.Security,Housing,Security,
Housing.HVAC,Housing,HVAC,
Housing.Dry Cleaning,Housing,Dry Cleaning,
Auto,Auto,,
Auto.Registration Fee,Auto,Registration Fee,
Auto.Maintenance,Auto,Maintenance,
Auto.Body Shop,Auto,Body Shop,
Auto.Tolls,Auto,Tolls,
Auto.Tires,Auto,Tires,
Auto.Gasoline,Auto,Gasoline,
Auto.Carwash,Auto,Carwash,
Auto.Fees,Auto,Fees,
Auto.Loan,Auto,Loan,
Auto.Insurance,Auto,Insurance,
Insurance,Insurance,,
Insurance.Principal Life Insurance,Insurance,Principal Life Insurance,
Insurance.Cobra Medical,Insurance,Cobra Medical,
Insurance.State Farm,Insurance,State Farm,
Insurance.Texas Law,Insurance,Texas Law,
Medical,Medical,,
Medical.Theraputic,Medical,Theraputic,
Medical.CareNow,Medical,CareNow,
Medical.Bio-T,Medical,Bio-T,
Medical.Labs,Medical,Labs,
Medical.Adelman,Medical,Adelman,
Medical.BSW Health,Medical,BSW Health,
Dental,Dental,,
Dental.Lann,Dental,Lann,
Medical.Pharmacy,Medical,Pharmacy,
Medical.Eye Doctor,Medical,Eye Doctor,
Medical.Oncology Doctor,Medical,Oncology Doctor,
Medical.Chiropractor,Medical,Chiropractor,
Medical.Lab Work,Medical,Lab Work,
Medical.Reimbursement,Medical,Reimbursement,
Medical.Audiology,Medical,Audiology,
Medical.Physical Therapy,Medical,Physical Therapy,
Medical.TheraBody,Medical,TheraBody,
Medical.Dermatology,Medical,Dermatology,
Medical.Misc,Medical,Misc,
Medical.Rheumatology,Medical,Rheumatology,
Medical.Radiology,Medical,Radiology,
Health and Wellbeing,Health and Wellbeing,,
Health and Wellbeing.23AndMe,Health and Wellbeing,23AndMe,
Health and Wellbeing.LiveWello,Health and Wellbeing,LiveWello,
Health and Wellbeing.NutriSense,Health and Wellbeing,NutriSense,
Health and Wellbeing.Massage,Health and Wellbeing,Massage,
Health and Wellbeing.Equipment,Health and Wellbeing,Equipment,
Health and Wellbeing.Supplements,Health and Wellbeing,Supplements,
Health and Wellbeing.Running,Health and Wellbeing,Running,
Health and Wellbeing.Swimming,Health and Wellbeing,Swimming,
Hobby,Hobby,,
Hobby.Photography,Hobby,Photography,
Health and Wellbeing.23andMe,Health and Wellbeing,23andMe,
Health and Wellbeing.Hair Care,Health and Wellbeing,Hair Care,
Health and Wellbeing.Life Coach,Health and Wellbeing,Life Coach,
Health and Wellbeing.Personal Trainer,Health and Wellbeing,Personal Trainer,
Health and Wellbeing.Tennis,Health and Wellbeing,Tennis,
Health and Wellbeing.Athleta,Health and Wellbeing,Athleta,
Hobby.Artwork,Hobby,Artwork,
Health and Wellbeing.Cycling,Health and Wellbeing,Cycling,
Connectivity,Connectivity,,
Connectivity.AT&T U-Verse,Connectivity,AT&T U-Verse,
Connectivity.Internet,Connectivity,Internet,
Connectivity.Interent,Connectivity,Interent,
Connectivity.Cellular,Connectivity,Cellular,
Subscription,Subscription,,
Subscription.Application,Subscription,Application,
Subscription.Content,Subscription,Content,
Subscription.Software,Subscription,Software,
Subscription.TeamViewer,Subscription,TeamViewer,
Subscription.Patreon,Subscription,Patreon,
Subscription.Storage,Subscription,Storage,
Entertainment,Entertainment,,
Entertainment.Museums,Entertainment,Museums,
Entertainment.Theater,Entertainment,Theater,
Entertainment.Streaming,Entertainment,Streaming,
Entertainment.Concerts,Entertainment,Concerts,
Entertainment.Typhoon Texas,Entertainment,Typhoon Texas,
Entertainment.Misc,Entertainment,Misc,
Consumable Goods,Consumable Goods,,
Consumable Goods.Groceries,Consumable Goods,Groceries,
